subject,question_no,file,official_answer,priority,line_count,char_count,flags
공법,1,q001_공법.md,3,manual,309,19770,
공법,2,q002_공법.md,37,manual,196,13114,
공법,3,q003_공법.md,1,manual,287,19663,
공법,4,q004_공법.md,4,manual,323,17520,
공법,5,q005_공법.md,2,manual,239,18699,
공법,6,q006_공법.md,5,manual,108,4853,
공법,7,q007_공법.md,4,manual,124,5457,
공법,8,q008_공법.md,1,manual,293,18959,
공법,9,q009_공법.md,4,manual,247,18160,
공법,10,q010_공법.md,5,manual,321,17422,
공법,11,q011_공법.md,5,manual,145,6059,
공법,12,q012_공법.md,2,manual,259,17202,
공법,13,q013_공법.md,3,manual,204,17195,
공법,14,q014_공법.md,3,manual,75,3320,
공법,15,q015_공법.md,1,manual,155,12033,
공법,16,q016_공법.md,3,manual,174,14497,
공법,17,q017_공법.md,2,manual,99,4628,
공법,18,q018_공법.md,1,manual,101,4696,
공법,19,q019_공법.md,3,manual,127,6294,
공법,20,q020_공법.md,1,manual,290,17862,
공법,21,q021_공법.md,1,manual,286,9940,
공법,22,q022_공법.md,3,manual,164,7330,
공법,23,q023_공법.md,5,manual,257,9494,
공법,24,q024_공법.md,3,manual,225,7804,
공법,25,q025_공법.md,5,manual,190,8537,
공법,26,q026_공법.md,5,manual,137,5944,
공법,27,q027_공법.md,2,manual,176,8164,
공법,28,q028_공법.md,1,manual,194,9772,
공법,29,q029_공법.md,4,manual,175,8110,
공법,30,q030_공법.md,4,manual,110,4985,
공법,31,q031_공법.md,1,manual,124,5615,
공법,32,q032_공법.md,4,manual,141,5477,
공법,33,q033_공법.md,3,manual,154,6311,
공법,34,q034_공법.md,2,manual,109,4017,
공법,35,q035_공법.md,4,manual,116,5030,
공법,36,q036_공법.md,2,manual,134,4902,
공법,37,q037_공법.md,1,manual,74,3738,
공법,38,q038_공법.md,5,manual,103,4022,
공법,39,q039_공법.md,3,manual,106,6467,
공법,40,q040_공법.md,4,manual,118,7008,
민사법,1,q001_민사법.md,7,manual,173,11842,
민사법,2,q002_민사법.md,4,manual,175,12358,
민사법,3,q003_민사법.md,1,manual,135,7677,
민사법,4,q004_민사법.md,29,manual,133,4662,
민사법,5,q005_민사법.md,39,manual,203,12536,
민사법,6,q006_민사법.md,1,manual,190,12753,
민사법,7,q007_민사법.md,3,manual,223,14584,
민사법,8,q008_민사법.md,5,manual,324,18507,
민사법,9,q009_민사법.md,3,manual,158,6758,
민사법,10,q010_민사법.md,2,manual,258,12036,
민사법,11,q011_민사법.md,4,manual,292,16931,
민사법,12,q012_민사법.md,4,manual,236,11200,
민사법,13,q013_민사법.md,2,manual,136,6508,
민사법,14,q014_민사법.md,1,manual,159,10923,
민사법,15,q015_민사법.md,4,manual,325,17710,
민사법,16,q016_민사법.md,3,manual,239,17374,
민사법,17,q017_민사법.md,1,manual,183,7722,
민사법,18,q018_민사법.md,2,manual,83,5185,
민사법,19,q019_민사법.md,4,manual,132,6094,
민사법,20,q020_민사법.md,1,manual,113,5864,
민사법,21,q021_민사법.md,5,manual,223,7751,
민사법,22,q022_민사법.md,2,manual,201,7859,
민사법,23,q023_민사법.md,2,manual,146,6111,
민사법,24,q024_민사법.md,4,manual,122,5190,
민사법,25,q025_민사법.md,1,manual,144,6086,
민사법,26,q026_민사법.md,2,manual,114,4994,
민사법,27,q027_민사법.md,3,manual,196,9157,
민사법,28,q028_민사법.md,5,manual,85,3003,
민사법,29,q029_민사법.md,5,manual,129,5699,
민사법,30,q030_민사법.md,2,manual,96,4136,
민사법,31,q031_민사법.md,2,manual,97,4665,
민사법,32,q032_민사법.md,1,manual,126,3902,
민사법,33,q033_민사법.md,3,manual,123,5749,
민사법,34,q034_민사법.md,4,manual,132,6060,
민사법,35,q035_민사법.md,4,manual,165,5835,
민사법,36,q036_민사법.md,2,manual,139,4872,
민사법,37,q037_민사법.md,2,manual,141,4862,
민사법,38,q038_민사법.md,4,manual,164,6427,
민사법,39,q039_민사법.md,3,manual,103,3880,
민사법,40,q040_민사법.md,1,manual,206,15404,
민사법,41,q041_민사법.md,5,manual,157,11383,
민사법,42,q042_민사법.md,5,manual,233,18025,
민사법,43,q043_민사법.md,4,manual,336,27057,
민사법,44,q044_민사법.md,4,manual,246,20401,
민사법,45,q045_민사법.md,2,manual,198,18023,
민사법,46,q046_민사법.md,2,manual,241,12646,
민사법,47,q047_민사법.md,5,manual,223,16136,
민사법,48,q048_민사법.md,3,manual,87,4040,
민사법,49,q049_민사법.md,1,manual,204,16887,
민사법,50,q050_민사법.md,1,manual,200,15583,
민사법,51,q051_민사법.md,3,manual,180,13096,
민사법,52,q052_민사법.md,5,manual,139,11065,
민사법,53,q053_민사법.md,4,manual,103,3497,
민사법,54,q054_민사법.md,3,manual,185,15301,
민사법,55,q055_민사법.md,5,manual,117,4830,
민사법,56,q056_민사법.md,3,manual,173,15600,
민사법,57,q057_민사법.md,4,manual,142,4707,
민사법,58,q058_민사법.md,2,manual,175,14872,
민사법,59,q059_민사법.md,2,manual,167,14101,
민사법,60,q060_민사법.md,1,manual,120,5775,
민사법,61,q061_민사법.md,1,manual,152,5133,
민사법,62,q062_민사법.md,5,manual,136,5865,
민사법,63,q063_민사법.md,5,manual,105,4080,
민사법,64,q064_민사법.md,2,manual,139,6791,
민사법,65,q065_민사법.md,1,manual,137,5155,
민사법,66,q066_민사법.md,3,manual,114,4660,
민사법,67,q067_민사법.md,4,manual,139,5363,
민사법,68,q068_민사법.md,5,manual,109,4340,
민사법,69,q069_민사법.md,3,manual,154,5687,
민사법,70,q070_민사법.md,4,manual,87,2968,
형사법,1,q001_형사법.md,3,manual,223,14126,
형사법,2,q002_형사법.md,2,manual,222,13168,
형사법,3,q003_형사법.md,4,manual,88,3749,
형사법,4,q004_형사법.md,19,manual,114,6344,
형사법,5,q005_형사법.md,1,manual,177,12317,
형사법,6,q006_형사법.md,3,manual,222,12093,
형사법,7,q007_형사법.md,5,manual,134,9118,
형사법,8,q008_형사법.md,1,manual,96,3910,
형사법,9,q009_형사법.md,4,manual,268,16396,
형사법,10,q010_형사법.md,2,manual,137,6242,
형사법,11,q011_형사법.md,3,manual,91,3834,
형사법,12,q012_형사법.md,4,manual,142,6373,
형사법,13,q013_형사법.md,2,manual,121,8578,
형사법,14,q014_형사법.md,1,manual,218,14296,
형사법,15,q015_형사법.md,5,manual,153,11953,
형사법,16,q016_형사법.md,2,manual,183,15237,
형사법,17,q017_형사법.md,1,manual,81,4308,
형사법,18,q018_형사법.md,2,manual,83,4374,
형사법,19,q019_형사법.md,2,manual,322,19128,
형사법,20,q020_형사법.md,1,manual,170,6701,
형사법,21,q021_형사법.md,5,manual,238,10081,
형사법,22,q022_형사법.md,4,manual,139,6495,
형사법,23,q023_형사법.md,5,manual,163,6591,
형사법,24,q024_형사법.md,1,manual,121,4738,
형사법,25,q025_형사법.md,4,manual,133,5393,
형사법,26,q026_형사법.md,3,manual,137,6485,
형사법,27,q027_형사법.md,2,manual,233,8893,
형사법,28,q028_형사법.md,2,manual,166,6699,
형사법,29,q029_형사법.md,1,manual,123,7419,
형사법,30,q030_형사법.md,3,manual,140,6336,
형사법,31,q031_형사법.md,5,manual,157,6252,
형사법,32,q032_형사법.md,3,manual,171,6741,
형사법,33,q033_형사법.md,2,manual,208,8033,
형사법,34,q034_형사법.md,4,manual,144,6544,
형사법,35,q035_형사법.md,3,manual,215,17092,
형사법,36,q036_형사법.md,3,manual,178,14570,
형사법,37,q037_형사법.md,3,manual,160,9751,
형사법,38,q038_형사법.md,5,manual,172,7376,
형사법,39,q039_형사법.md,5,manual,180,8222,
형사법,40,q040_형사법.md,4,manual,178,6731,
